test_id,category,model,prompt_type,input_tokens,output_tokens,total_tokens,latency_seconds,output_text,assertions_passed,assertions_failed,semantic_similarity,parse_error,timestamp
A1,text_summary,test-model,baseline,34,10,44,0.10024905204772949,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:summary"": true, ""field_exists:impact"": true, ""field_exists:next_steps"": true, ""semantic_similarity:summary>=0.75"": true}",[],,,2026-05-08T22:15:35.470029
A1,text_summary,test-model,ilang,3,10,13,0.1001591682434082,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:summary"": true, ""field_exists:impact"": true, ""field_exists:next_steps"": true, ""semantic_similarity:summary>=0.75"": true}",[],,,2026-05-08T22:15:35.570313
A2,text_summary,test-model,baseline,35,10,45,0.10015249252319336,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""min_length:3"": true, ""date_format:YYYY-MM-DD|YYYY-MM|YYYY"": false, ""chronological_order"": true}","[""is_array"", ""date_format:YYYY-MM-DD|YYYY-MM|YYYY""]",,,2026-05-08T22:15:35.670717
A2,text_summary,test-model,ilang,3,10,13,0.10018062591552734,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""min_length:3"": true, ""date_format:YYYY-MM-DD|YYYY-MM|YYYY"": false, ""chronological_order"": true}","[""is_array"", ""date_format:YYYY-MM-DD|YYYY-MM|YYYY""]",,,2026-05-08T22:15:35.771004
A3,text_summary,test-model,baseline,31,3,34,0.10020089149475098,Mock response text,"{""contains:Overview"": false, ""contains:Endpoints"": false, ""contains:Examples"": false, ""length_reduction>=0.50"": true}","[""contains:Overview"", ""contains:Endpoints"", ""contains:Examples""]",,,2026-05-08T22:15:35.871282
A3,text_summary,test-model,ilang,3,3,6,0.10014486312866211,Mock response text,"{""contains:Overview"": false, ""contains:Endpoints"": false, ""contains:Examples"": false, ""length_reduction>=0.50"": true}","[""contains:Overview"", ""contains:Endpoints"", ""contains:Examples""]",,,2026-05-08T22:15:35.971502
A4,text_summary,test-model,baseline,43,10,53,0.10016918182373047,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:common_themes"": false, ""field_exists:conflicts"": false, ""field_exists:gaps"": false, ""array_min_length:common_themes>=2"": true}","[""field_exists:common_themes"", ""field_exists:conflicts"", ""field_exists:gaps""]",,,2026-05-08T22:15:36.071790
A4,text_summary,test-model,ilang,3,10,13,0.10011577606201172,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:common_themes"": false, ""field_exists:conflicts"": false, ""field_exists:gaps"": false, ""array_min_length:common_themes>=2"": true}","[""field_exists:common_themes"", ""field_exists:conflicts"", ""field_exists:gaps""]",,,2026-05-08T22:15:36.172126
A5,text_summary,test-model,baseline,36,10,46,0.10013341903686523,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""min_length:2"": true, ""date_format:deadline=YYYY-MM-DD"": false, ""enum_check:priority=high|medium|low"": true}","[""is_array"", ""date_format:deadline=YYYY-MM-DD""]",,,2026-05-08T22:15:36.272368
A5,text_summary,test-model,ilang,3,10,13,0.10016536712646484,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""min_length:2"": true, ""date_format:deadline=YYYY-MM-DD"": false, ""enum_check:priority=high|medium|low"": true}","[""is_array"", ""date_format:deadline=YYYY-MM-DD""]",,,2026-05-08T22:15:36.372655
